,Date,Code,Transect,adult,juv,col_m2,type,uo_DC,o_DC,DC,uo_LC,o_LC,LC,COTS,period,juv2,prop.dc
260,04/05/2013,L2,T2,8,3,1.91,Live,0,0,0,49,5,54,0,1,3,0
276,04/05/2013,L3,T3,15,0,0.29,Live,0,0,0,31,9,40,0,1,3,0
217,07/05/2013,L6,T3,15,1,0.33,Live,0,0,0,25,10,35,0,1,4,0
281,04/05/2013,L3,T3,16,0,0.17,Live,0,0,0,31,9,40,0,1,3,0
225,07/05/2013,L6,T3,18,0,0.18,Live,0,0,0,25,10,35,0,1,4,0
271,04/05/2013,L3,T3,25,0,0.64,Live,0,0,0,31,9,40,0,1,3,0
216,07/05/2013,L6,T3,28,1,0.6,Live,0,0,0,25,10,35,0,1,4,0
116,12/06/2013,S3-2,T2,0,3,0.1,Live,0,1,1,21,14,35,0,1,1,0.027777778
145,12/06/2013,S3-2,T2,0,3,0.05,Live,0,1,1,21,14,35,0,1,1,0.027777778
95,12/06/2013,S3-2,T2,1,0,0.1,Live,0,1,1,21,14,35,0,1,2,0.027777778
122,12/06/2013,S3-2,T2,1,2,0.08,Live,0,1,1,21,14,35,0,1,2,0.027777778
126,12/06/2013,S3-2,T2,1,3,0.1,Live,0,1,1,21,14,35,0,1,2,0.027777778
140,12/06/2013,S3-2,T2,2,3,0.09,Live,0,1,1,21,14,35,0,1,2,0.027777778
137,12/06/2013,S3-2,T2,3,3,0.11,Live,0,1,1,21,14,35,0,1,2,0.027777778
154,12/06/2013,S3-2,T2,3,1,0.05,Live,0,1,1,21,14,35,0,1,2,0.027777778
123,12/06/2013,S3-2,T2,4,1,0.13,Live,0,1,1,21,14,35,0,1,2,0.027777778
157,12/06/2013,S3-2,T2,4,3,0.09,Live,0,1,1,21,14,35,0,1,2,0.027777778
158,12/06/2013,S3-2,T2,4,3,0.08,Live,0,1,1,21,14,35,0,1,2,0.027777778
169,12/06/2013,S3-2,T2,5,5,0.07,Live,0,1,1,21,14,35,0,1,2,0.027777778
165,12/06/2013,S3-2,T2,6,23,0.25,Live,0,1,1,21,14,35,0,1,2,0.027777778
117,12/06/2013,S3-2,T2,7,0,0.23,Live,0,1,1,21,14,35,0,1,2,0.027777778
200,07/05/2013,L4,T1,1,2,0.16,Live,1,0,1,21,5,26,0,1,3,0.037037037
206,07/05/2013,L4,T1,1,0,0.04,Live,1,0,1,21,5,26,0,1,3,0.037037037
211,07/05/2013,L4,T1,2,1,0.08,Live,1,0,1,21,5,26,0,1,3,0.037037037
205,07/05/2013,L4,T1,3,0,0.13,Live,1,0,1,21,5,26,0,1,3,0.037037037
201,07/05/2013,L4,T1,9,0,0.46,Live,1,0,1,21,5,26,0,1,3,0.037037037
263,04/05/2013,L1,T1,0,1,0.11,Live,2,0,2,27,9,36,0,1,2,0.052631579
268,04/05/2013,L1,T1,0,1,0.04,Live,2,0,2,27,9,36,0,1,2,0.052631579
266,04/05/2013,L1,T1,1,0,0.06,Live,2,0,2,27,9,36,0,1,3,0.052631579
269,04/05/2013,L1,T1,2,0,0.06,Live,2,0,2,27,9,36,0,1,3,0.052631579
272,04/05/2013,L1,T1,2,0,0.05,Live,2,0,2,27,9,36,0,1,3,0.052631579
275,04/05/2013,L1,T1,2,1,0.07,Live,2,0,2,27,9,36,0,1,3,0.052631579
274,04/05/2013,L1,T1,4,1,0.12,Live,2,0,2,27,9,36,0,1,3,0.052631579
277,04/05/2013,L1,T1,4,2,0.12,Live,2,0,2,27,9,36,0,1,3,0.052631579
280,04/05/2013,L1,T1,4,1,0.07,Live,2,0,2,27,9,36,0,1,3,0.052631579
231,05/05/2013,HG5,T2,0,1,0.05,Live,3,0,3,39,13,52,0,1,1,0.054545455
238,05/05/2013,HG5,T2,1,0,0.03,Live,3,0,3,39,13,52,0,1,1,0.054545455
234,05/05/2013,HG5,T2,3,0,0.11,Live,3,0,3,39,13,52,0,1,1,0.054545455
235,05/05/2013,HG5,T2,3,0,0.1,Live,3,0,3,39,13,52,0,1,1,0.054545455
242,05/05/2013,HG5,T2,3,0,0.08,Live,3,0,3,39,13,52,0,1,1,0.054545455
237,05/05/2013,HG5,T2,5,0,0.17,Live,3,0,3,39,13,52,0,1,1,0.054545455
256,05/05/2013,HG5,T2,6,0,0.05,Live,3,0,3,39,13,52,0,1,1,0.054545455
255,05/05/2013,HG5,T2,7,0,0.07,Live,3,0,3,39,13,52,0,1,1,0.054545455
254,05/05/2013,HG5,T2,8,0,0.08,Live,3,0,3,39,13,52,0,1,1,0.054545455
236,05/05/2013,HG5,T2,10,0,0.34,Live,3,0,3,39,13,52,0,1,1,0.054545455
233,05/05/2013,HG5,T2,32,0,1.15,Live,3,0,3,39,13,52,0,1,1,0.054545455
241,05/05/2013,HG5,T2,32,0,0.86,Live,3,0,3,39,13,52,0,1,1,0.054545455
243,05/05/2013,HG5,T2,43,0,0.91,Live,3,0,3,39,13,52,0,1,1,0.054545455
360,23/04/2013,MW2,T2,1,0,0.04,Live,2,0,2,28,4,32,0,1,2,0.058823529
376,23/04/2013,MW2,T2,1,1,0.02,Live,2,0,2,28,4,32,0,1,2,0.058823529
366,23/04/2013,MW2,T2,2,0,0.04,Live,2,0,2,28,4,32,0,1,2,0.058823529
372,23/04/2013,MW2,T2,6,0,0.08,Live,2,0,2,28,4,32,0,1,2,0.058823529
189,07/05/2013,L5,T2,0,1,0.16,Live,5,0,5,37,17,54,0,1,3,0.084745763
199,07/05/2013,L5,T2,0,1,0.05,Live,5,0,5,37,17,54,0,1,3,0.084745763
207,07/05/2013,L5,T2,1,1,0.07,Live,5,0,5,37,17,54,0,1,4,0.084745763
209,07/05/2013,L5,T2,1,1,0.06,Live,5,0,5,37,17,54,0,1,4,0.084745763
196,07/05/2013,L5,T2,2,0,0.12,Live,5,0,5,37,17,54,0,1,4,0.084745763
203,07/05/2013,L5,T2,2,1,0.14,Live,5,0,5,37,17,54,0,1,4,0.084745763
210,07/05/2013,L5,T2,2,3,0.13,Live,5,0,5,37,17,54,0,1,4,0.084745763
219,07/05/2013,L5,T2,2,0,0.03,Live,5,0,5,37,17,54,0,1,4,0.084745763
223,07/05/2013,L5,T2,2,0,0.02,Live,5,0,5,37,17,54,0,1,4,0.084745763
212,07/05/2013,L5,T2,3,1,0.1,Live,5,0,5,37,17,54,0,1,4,0.084745763
214,07/05/2013,L5,T2,3,2,0.11,Live,5,0,5,37,17,54,0,1,4,0.084745763
208,07/05/2013,L5,T2,4,0,0.13,Live,5,0,5,37,17,54,0,1,4,0.084745763
213,07/05/2013,L5,T2,4,0,0.09,Live,5,0,5,37,17,54,0,1,4,0.084745763
220,07/05/2013,L5,T2,5,0,0.08,Live,5,0,5,37,17,54,0,1,4,0.084745763
224,07/05/2013,L5,T2,11,2,0.13,Live,5,0,5,37,17,54,0,1,4,0.084745763
222,07/05/2013,L5,T2,12,0,0.13,Live,5,0,5,37,17,54,0,1,4,0.084745763
215,07/05/2013,L5,T2,14,0,0.3,Live,5,0,5,37,17,54,0,1,4,0.084745763
67,14/06/2013,R4,T4,1,0,0.08,Live,2,0,2,12,4,16,0,1,2,0.111111111
73,14/06/2013,R4,T4,1,2,0.08,Live,2,0,2,12,4,16,0,1,2,0.111111111
70,14/06/2013,R4,T4,2,0,0.07,Live,2,0,2,12,4,16,0,1,2,0.111111111
90,14/06/2013,R4,T4,3,0,0.03,Live,2,0,2,12,4,16,0,1,2,0.111111111
369,23/04/2013,MW3,T3,3,0,0.04,Live,3,0,3,19,4,23,0,1,2,0.115384615
370,23/04/2013,MW3,T3,3,0,0.04,Live,3,0,3,19,4,23,0,1,2,0.115384615
373,23/04/2013,MW3,T3,5,0,0.06,Live,3,0,3,19,4,23,0,1,2,0.115384615
378,23/04/2013,MW3,T3,11,0,0.08,Live,3,0,3,19,4,23,0,1,2,0.115384615
285,03/05/2013,R1,T1,1,2,0.25,Live,5,1,6,36,6,42,0,1,2,0.125
287,03/05/2013,R1,T1,1,0,0.03,Live,5,1,6,36,6,42,0,1,2,0.125
289,03/05/2013,R1,T1,2,0,0.03,Live,5,1,6,36,6,42,0,1,2,0.125
284,03/05/2013,R1,T1,4,0,0.4,Live,5,1,6,36,6,42,0,1,2,0.125
288,03/05/2013,R1,T1,23,0,0.44,Live,5,1,6,36,6,42,0,1,2,0.125
290,03/05/2013,R1,T1,32,0,0.46,Live,5,1,6,36,6,42,0,1,2,0.125
97,12/06/2013,S3-1,T1,0,2,0.17,Live,6,0,6,25,16,41,0,1,1,0.127659574
98,12/06/2013,S3-1,T1,0,1,0.08,Live,6,0,6,25,16,41,0,1,1,0.127659574
128,12/06/2013,S3-1,T1,0,2,0.04,Live,6,0,6,25,16,41,0,1,1,0.127659574
146,12/06/2013,S3-1,T1,0,2,0.03,Live,6,0,6,25,16,41,0,1,1,0.127659574
102,12/06/2013,S3-1,T1,1,0,0.07,Live,6,0,6,25,16,41,0,1,2,0.127659574
135,12/06/2013,S3-1,T1,1,2,0.06,Live,6,0,6,25,16,41,0,1,2,0.127659574
147,12/06/2013,S3-1,T1,1,1,0.03,Live,6,0,6,25,16,41,0,1,2,0.127659574
125,12/06/2013,S3-1,T1,2,0,0.05,Live,6,0,6,25,16,41,0,1,2,0.127659574
144,12/06/2013,S3-1,T1,2,0,0.03,Live,6,0,6,25,16,41,0,1,2,0.127659574
163,12/06/2013,S3-1,T1,2,2,0.04,Live,6,0,6,25,16,41,0,1,2,0.127659574
105,12/06/2013,S3-1,T1,3,2,0.28,Live,6,0,6,25,16,41,0,1,2,0.127659574
127,12/06/2013,S3-1,T1,3,0,0.07,Live,6,0,6,25,16,41,0,1,2,0.127659574
153,12/06/2013,S3-1,T1,3,2,0.07,Live,6,0,6,25,16,41,0,1,2,0.127659574
172,12/06/2013,S3-1,T1,3,2,0.03,Live,6,0,6,25,16,41,0,1,2,0.127659574
129,12/06/2013,S3-1,T1,5,0,0.11,Live,6,0,6,25,16,41,0,1,2,0.127659574
176,12/06/2013,S3-1,T1,33,3,0.2,Live,6,0,6,25,16,41,0,1,2,0.127659574
110,12/06/2013,S3-3,T3,0,1,0.04,Live,4,0,4,14,13,27,0,1,6,0.129032258
112,12/06/2013,S3-3,T3,0,1,0.04,Live,4,0,4,14,13,27,0,1,6,0.129032258
